empresa,nota,avaliacoes
 Itaú Unibanco (Itaú BBA e Rede) ,"4,2"," 7,7k"
 IBM ,"3,9", 50k
 Banco Bradesco ,"3,8"," 4,3k"
 Atento ,"3,3"," 3,9k"
 Santander ,"3,7"," 6,3k"
 Vivo (Telefônica Brasil) ,"4,0"," 3,2k"
 Teleperformance ,"3,3"," 7,9k"
 Accenture ,"3,7", 50k
 Tivit ,"3,3"," 1,6k"
 GPA (Brazil) ,"3,6"," 1,5k"
 Porto Seguro Seguros ,"4,0"," 1,2k"
 Deloitte ,"3,8", 33k
 Raia Drogasil ,"3,5"," 1,9k"
 Cervejaria Ambev ,"3,9"," 3,3k"
 PwC ,"3,7", 26k
 Carrefour ,"3,5"," 2,7k"
 Concentrix ,"4,2"," 5,4k"
 Stefanini ,"3,2"," 2,2k"
 Via Varejo ,"3,5"," 1,6k"
 Embraer ,"3,9"," 1,2k"
 KPMG ,"3,7", 19k
 Walmart ,"3,2", 47k
 Latam Airlines Group ,"3,8"," 1,4k"
 UOL ,"3,8", 817
 Banco do Brasil ,"3,9"," 2,6k"
 McDonald's ,"3,4", 30k
 TOTVS ,"3,7"," 1,6k"
 Johnson & Johnson ,"4,0"," 6,2k"
 Nestlé ,"3,9"," 4,8k"
 Claro ,"3,7"," 1,7k"
 Unilever ,"3,9"," 5,9k"
 B2W Digital ,"3,3"," 1,1k"
 General Motors (GM) ,"3,3"," 5,5k"
 Drogaria São Paulo ,"3,5", 785
 Robert Bosch ,"4,0"," 5,1k"
 Lojas Riachuelo ,"3,6"," 1,9k"
 Hospital Israelita Albert Einstein ,"4,1", 681
 Mercado Livre ,"4,2", 643
 Capgemini ,"3,5", 18k
 Gol Linhas Aéreas Inteligentes ,"4,0", 877
 B3 ,"4,2", 586
 Grupo Fleury ,"3,8", 709
 CI&T ,"4,2", 686
 Avon ,"3,5"," 2,6k"
 Natura Cosméticos ,"4,1", 773
 Siemens ,"4,0"," 8,5k"
 Liq ,"3,2"," 2,3k"
 Indra ,"3,4"," 1,5k"
 Bayer ,"4,2"," 3,0k"
 BASF ,"3,9"," 2,7k"
 Nextel Brasil ,"4,0", 818
 Prefeitura de São Paulo ,"3,5", 509
 GE ,"3,7", 11k
 Editora Abril S/A ,"3,4", 513
 Sanofi ,"3,6"," 3,9k"
 Netshoes ,"3,8", 486
 BRQ ,"4,2", 641
 Nubank Brasil ,"4,5", 477
 Cielo ,"3,8", 576
 Autônomo ,"3,8"," 1,3k"
 Procter & Gamble ,"4,0"," 7,5k"
 DASA ,"3,5", 695
 Sitel ,"3,7"," 3,5k"
 Safra Bank ,"3,5", 612
 TIM BRASIL ,"3,8"," 1,4k"
 Dafiti ,"3,5", 469
 Tribunal de Justiça do Estado de São Paulo ,"4,0", 563
 Oracle ,"4,0", 24k
 PepsiCo ,"3,6"," 8,9k"
 Sonda ,"3,2", 704
 Caixa Econômica Federal ,"4,0"," 1,7k"
 C&A ,"3,4"," 1,2k"
 Samsung Electronics ,"3,5"," 5,2k"
 SPDM ,"3,5", 479
 Leroy Merlin ,"3,9"," 1,2k"
 FIS ,"3,5"," 3,6k"
 Mercedes-Benz International ,"3,7"," 1,2k"
 Citicapital Commercial Corp ,"3,8", 687
 Serasa Experian ,"3,7", 522
 Kroton Educacional ,"3,4", 540
 HP Inc. ,"4,0"," 3,1k"
 Magazine Luiza ,"4,4", 985
 Unimed (Brazil) ,"3,9"," 1,8k"
 Volkswagen ,"3,8"," 1,6k"
 UnitedHealth Group ,"3,5", 11k
 iFood ,"4,2", 420
 Ericsson-Worldwide ,"3,8"," 9,9k"
" JBS USA Holdings, Inc. ","3,5"," 1,3k"
 Whirlpool Corporation ,"3,9"," 2,9k"
 SABESP ,"4,0", 487
 Burger King ,"3,2"," 5,6k"
